slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,1,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,4,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8732691,0,0
3,90,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8645364090000001,0,0
4,120,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.85589104491,0,0
5,150,1,2,11,0,0.14825626287465335,0.8974053672792567,107.6886440735108,-1.076886440735108,0.8473321344609,0,0
6,180,1,0,15,0,0.0,0.8333333333333334,100.0,-1.0,0.8388588131162911,0,0
7,210,1,0,21,0,0.0,0.8333333333333334,100.0,-1.0,0.8304702249851281,0,0
8,240,1,2,24,0,0.18529411764705883,0.9179873125720877,110.15847750865052,-1.101584775086505,0.8221655227352769,0,0
9,270,1,6,26,0,0.27242647058823527,0.9736196114475201,116.83435337370241,-1.168343533737024,0.8139438675079241,0,0
10,300,1,1,33,0,0.08819172479735705,0.8679157618142742,104.14989141771291,-1.041498914177129,0.8058044288328449,0,0
11,330,1,3,37,0,0.17647992451821337,0.9129234173447073,109.55081008136487,-1.0955081008136487,0.7977463845445164,0,0
12,360,1,5,40,0,0.23437208241158772,0.9480775428131586,113.76930513757904,-1.1376930513757904,0.7897689206990712,0,0
13,390,1,6,43,0,0.08914515442302377,0.8683462905124111,104.20155486148933,-1.0420155486148932,0.7818712314920805,0,0
14,420,1,7,49,0,0.4190513193743685,1.090086445304389,130.81037343652667,-1.3081037343652668,0.7740525191771597,0,0
15,450,1,12,52,0,0.3324117919983996,1.017802330305858,122.13627963670297,-1.2213627963670297,0.7663119939853881,0,0
16,480,1,5,61,0,0.2279201583198993,0.9439384518190117,113.2726142182814,-1.132726142182814,0.7586488740455342,0,0
17,510,1,10,64,0,0.5034098329665933,1.1700842509405,140.41011011286,-1.4041011011286,0.7510623853050789,0,0
18,540,1,12,70,0,0.2526287388065849,0.9600904327161986,115.21085192594384,-1.1521085192594382,0.7435517614520281,0,0
19,570,1,8,77,0,0.3750685942051155,1.0521404983077063,126.25685979692474,-1.2625685979692476,0.7361162438375077,0,0
20,600,1,11,80,0,0.18340068813626637,0.9168907709846595,110.02689251815914,-1.1002689251815914,0.7287550813991327,0,0
21,630,1,7,84,0,0.2598270537748244,0.9649490831738118,115.79388998085741,-1.157938899808574,0.7214675305851413,0,0
22,660,1,2,92,0,0.130601046511366,0.888238104403698,106.58857252844376,-1.0658857252844376,0.7142528552792899,0,0
