slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,1,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,4,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8732691,0,0
3,90,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8645364090000001,0,0
4,120,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.85589104491,0,0
5,150,1,7,6,0,0.3860294117647059,1.0613556084198386,127.36267301038063,-1.2736267301038062,0.8473321344609,0,0
6,180,1,9,6,0,0.3247549019607843,1.0118954648853005,121.42745578623607,-1.2142745578623606,0.8388588131162911,0,0
7,210,1,13,8,0,0.5087418300653594,1.1754594431272873,141.05513317527448,-1.4105513317527447,0.8304702249851281,0,0
8,240,1,13,13,0,0.3016929920116195,0.9945767716231553,119.34921259477863,-1.1934921259477862,0.8221655227352769,0,0
9,270,1,18,14,0,0.28898133814929483,0.9853339219154696,118.24007062985636,-1.1824007062985635,0.8139438675079241,0,0
10,300,1,18,16,0,0.2345294170445761,0.9481791706543711,113.78150047852453,-1.1378150047852453,0.8058044288328449,0,0
11,330,1,21,19,0,0.3278028681291085,1.014237436278816,121.70849235345793,-1.217084923534579,0.7977463845445164,0,0
12,360,1,25,20,0,0.57564203856364,1.246123183895682,149.53478206748184,-1.4953478206748185,0.7897689206990712,0,0
13,390,1,28,21,0,0.35292979643754024,1.0340162262881425,124.0819471545771,-1.240819471545771,0.7818712314920805,0,0
14,420,1,31,25,0,0.27434514105608715,0.9749585512994186,116.99502615593023,-1.1699502615593023,0.7740525191771597,0,0
15,450,1,35,29,0,0.35894354097857795,1.0388748240663526,124.66497888796232,-1.246649788879623,0.7663119939853881,0,0
16,480,1,34,32,0,0.4305143842954718,1.10039988482203,132.0479861786436,-1.320479861786436,0.7586488740455342,0,0
17,510,1,40,34,0,0.4303224351247608,1.1002257438227228,132.02708925872673,-1.3202708925872673,0.7510623853050789,0,0
18,540,1,45,37,0,0.3564716404500977,1.0368719004468219,124.42462805361862,-1.2442462805361862,0.7435517614520281,0,0
19,570,1,45,40,0,0.547777989385944,1.2159664802324528,145.91597762789434,-1.4591597762789432,0.7361162438375077,0,0
20,600,2,48,43,0,0.16165392602766396,1.8441212621521959,221.2945514582635,-2.2129455145826347,0.7287550813991327,0,0
21,630,2,47,44,0,0.3312971974312457,2.1802190196896247,261.626282362755,-1.6162628236275494,0.7214675305851413,0,0
