slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,3,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,7,0,0.0,0.8333333333333334,100.0,-1.0,0.8732691,0,0
3,90,1,4,9,0,0.42650571418881944,1.0967733208867498,131.61279850640997,-1.3161279850640997,0.8645364090000001,0,0
4,120,1,6,11,0,0.1656375739441016,0.9068363952494257,108.82036742993108,-1.0882036742993109,0.85589104491,0,0
5,150,1,12,13,0,0.570581196002694,1.2405689994888078,148.86827993865694,-1.4886827993865694,0.8473321344609,0,0
6,180,1,21,13,0,0.29706586282083547,0.9911873721759368,118.94248466111242,-1.1894248466111241,0.8388588131162911,0,0
7,210,1,25,16,0,0.5271375340867943,1.1942951645910023,143.31541975092028,-1.4331541975092026,0.8304702249851281,0,0
8,240,1,24,19,0,0.39417840107317625,1.0683105416061291,128.1972649927355,-1.281972649927355,0.8221655227352769,0,0
9,270,1,39,19,0,0.385233363632706,1.0606809508480812,127.28171410176974,-1.2728171410176974,0.8139438675079241,0,0
10,300,1,51,21,0,0.39355280549709243,1.067773475642119,128.13281707705428,-1.2813281707705428,0.8058044288328449,0,0
11,330,1,53,24,0,0.504368615805798,1.1710480056751704,140.52576068102044,-1.4052576068102045,0.7977463845445164,0,0
12,360,1,52,26,0,0.3768907765520229,1.0536613638173322,126.43936365807987,-1.2643936365807986,0.7897689206990712,0,0
13,390,1,52,28,0,0.5265690926418984,1.1937063704311077,143.24476445173292,-1.4324476445173293,0.7818712314920805,0,0
14,420,1,54,30,0,0.3958810855011855,1.0697749177387932,128.37299012865518,-1.2837299012865517,0.7740525191771597,0,0
15,450,1,57,33,0,0.3421489409249608,1.0254269121590351,123.05122945908421,-1.2305122945908422,0.7663119939853881,0,0
16,480,1,57,35,0,0.6071362674413889,1.2814550539755707,153.7746064770685,-1.5377460647706847,0.7586488740455342,0,0
17,510,2,69,37,0,0.09440036443638615,1.7533640531061843,210.4036863727421,-2.104036863727421,0.7510623853050789,0,0
18,540,2,82,39,0,0.288274434156637,2.0804553544733024,249.6546425367963,-1.496546425367963,0.7435517614520281,0,0
19,570,2,89,42,1,0.07720566630646776,1.7340323506305135,208.08388207566162,-11.080838820756616,0.7361162438375077,1,0
20,600,2,98,43,1,0.34573699342449477,2.215915511942221,265.9098614330665,-1.6590986143306652,0.7287550813991327,0,0
21,630,1,103,49,1,0.31221845282328037,1.002393059130002,120.28716709560025,-2.1647006947140337,0.7214675305851413,0,1
22,660,1,103,51,1,0.645829405661869,1.326673549365665,159.2008259238798,-1.5920082592387979,0.7142528552792899,0,0
23,690,2,109,58,1,0.08359724258829303,1.7410341589745046,208.92409907694054,-2.0892409907694054,0.707110326726497,0,0
24,720,2,115,61,3,0.2910125612814505,2.086510536383874,250.38126436606484,-21.50381264366065,0.700039223459232,2,0
25,750,2,129,62,3,0.10604626224796132,1.7673530007966765,212.0823600956012,-2.1208236009560117,0.6930388312246396,0,0
26,780,2,138,63,3,0.31811911500900664,2.1486121335636406,257.8334560276369,-1.5783345602763688,0.6861084429123933,0,0
27,810,2,145,63,3,0.13041029675569923,1.7989584525035582,215.87501430042698,-1.1587501430042697,0.6792473584832693,0,0
28,840,2,151,63,3,0.32547205618547725,2.166133529077258,259.93602348927095,-1.5993602348927094,0.6724548848984366,0,0
29,870,2,153,64,4,0.1514790610624804,1.8288417898826421,219.46101478591703,-11.194610147859171,0.6657303360494523,1,0
30,900,2,154,70,6,0.19771982102811758,1.9027282210251206,228.32738652301447,-21.283273865230143,0.6590730326889578,2,0
31,930,2,168,70,6,0.1993390025012942,1.9055221027827587,228.66265233393105,-1.2866265233393104,0.6524823023620682,0,0
32,960,2,174,71,7,0.24432249036587692,1.9887309383734753,238.64771260481703,-11.38647712604817,0.6459574793384475,1,0
33,990,2,183,71,7,0.1895010390458878,1.8887624094958482,226.6514891395018,-1.2665148913950175,0.6394979045450631,0,0
34,1020,2,183,72,8,0.30149848706145876,2.110069225241902,253.20830702902825,-11.532083070290282,0.6331029254996124,1,0
35,1050,2,186,78,10,0.13999305466069148,1.8122568507157446,217.47082208588935,-21.174708220858893,0.6267718962446163,2,0
36,1080,2,188,82,12,0.3093082712329749,2.127996465230334,255.35957582764007,-21.5535957582764,0.6205041772821701,2,0
37,1110,2,200,83,12,0.14705882352941177,1.8223760092272203,218.68512110726644,-2.186851211072664,0.6142991355093484,0,0
38,1140,2,208,85,14,0.27675070028011206,2.055409667134828,246.64916005617934,-21.466491600561792,0.608156144154255,2,0
39,1170,2,205,88,17,0.22002935789700495,1.942454020828852,233.09448249946226,-31.330944824994624,0.6020745827127124,3,0
40,1200,2,220,88,17,0.16967652445593623,1.8565580108411468,222.7869613009376,-1.227869613009376,0.5960538368855853,0,0
41,1230,2,220,92,21,0.2905697015159959,2.0855284715149174,250.26341658179007,-41.5026341658179,0.5900932985167294,4,0
42,1260,2,229,93,22,0.16838235294117648,1.8545285467128028,222.54342560553633,-11.225434256055363,0.5841923655315622,1,0
43,1290,2,232,95,24,0.29233283056812465,2.0894445105866746,250.73334127040096,-21.50733341270401,0.5783504418762465,2,0
44,1320,2,245,95,24,0.1801470588235294,1.873305940023068,224.79671280276818,-1.2479671280276816,0.572566937457484,0,0
45,1350,2,247,95,24,0.30514705882352944,2.1184039792387543,254.20847750865053,-1.5420847750865052,0.5668412680829091,0,0
46,1380,2,253,96,25,0.1860294117647059,1.8829714532871975,225.95657439446367,-11.259565743944638,0.5611728554020801,1,0
47,1410,2,253,100,29,0.284627596633957,2.072452714464298,248.69432573571578,-41.486943257357154,0.5555611268480593,4,0
48,1440,2,257,102,31,0.18897058823529414,1.8878734140715112,226.54480968858132,-21.265448096885812,0.5500055155795787,2,0
49,1470,2,263,102,31,0.26691176470588235,2.034586216839677,244.15034602076125,-1.4415034602076122,0.5445054604237829,0,0
50,1500,2,277,102,31,0.20367647058823532,1.913075259515571,229.56903114186852,-1.295690311418685,0.5390604058195451,0,0
51,1530,2,279,106,35,0.24864113489918935,1.9972871938366779,239.67446326040135,-41.39674463260401,0.5336698017613496,4,0
