slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
58,1740,1,0,200,0,0.0,0.8333333333333334,100.0,-1.0,0.49741512944614663,0,0
59,1770,1,0,202,0,0.0,0.8333333333333334,100.0,-1.0,0.49244097815168514,0,0
60,1800,1,0,209,0,0.0,0.8333333333333334,100.0,-1.0,0.48751656837016827,0,0
61,1830,1,0,216,0,0.0,0.8333333333333334,100.0,-1.0,0.4826414026864666,0,0
62,1860,1,0,217,0,0.0,0.8333333333333334,100.0,-1.0,0.4778149886596019,0,0
63,1890,1,0,219,0,0.0,0.8333333333333334,100.0,-1.0,0.4730368387730059,0,0
64,1920,1,0,223,0,0.0,0.8333333333333334,100.0,-1.0,0.46830647038527584,0,0
65,1950,1,0,226,0,0.0,0.8333333333333334,100.0,-1.0,0.4636234056814231,0,0
66,1980,1,0,229,0,0.0,0.8333333333333334,100.0,-1.0,0.45898717162460884,0,0
67,2010,1,0,231,0,0.0,0.8333333333333334,100.0,-1.0,0.45439729990836275,0,0
68,2040,1,0,236,0,0.0,0.8333333333333334,100.0,-1.0,0.4498533269092791,0,0
69,2070,1,0,237,0,0.0,0.8333333333333334,100.0,-1.0,0.4453547936401863,0,0
70,2100,1,0,243,0,0.0,0.8333333333333334,100.0,-1.0,0.4409012457037845,0,0
71,2130,1,0,247,0,0.0,0.8333333333333334,100.0,-1.0,0.43649223324674663,0,0
72,2160,1,0,249,0,0.0,0.8333333333333334,100.0,-1.0,0.43212731091427914,0,0
73,2190,1,0,249,0,0.0,0.8333333333333334,100.0,0.0,0.4278060378051363,0,0
74,2220,1,0,251,0,0.0,0.8333333333333334,100.0,-1.0,0.423527977427085,0,0
75,2250,1,0,255,0,0.0,0.8333333333333334,100.0,-1.0,0.41929269765281413,0,0
76,2280,1,0,260,0,0.0,0.8333333333333334,100.0,-1.0,0.415099770676286,0,0
77,2310,1,0,264,0,0.0,0.8333333333333334,100.0,-1.0,0.41094877296952315,0,0
78,2340,1,0,270,0,0.0,0.8333333333333334,100.0,-1.0,0.40683928523982793,0,0
79,2370,1,0,270,0,0.0,0.8333333333333334,100.0,0.0,0.40277089238742964,0,0
80,2400,1,0,274,0,0.0,0.8333333333333334,100.0,-1.0,0.39874318346355536,0,0
81,2430,1,0,279,0,0.0,0.8333333333333334,100.0,-1.0,0.3947557516289198,0,0
82,2460,1,0,283,0,0.0,0.8333333333333334,100.0,-1.0,0.39080819411263057,0,0
83,2490,1,0,288,0,0.0,0.8333333333333334,100.0,-1.0,0.3869001121715043,0,0
84,2520,1,0,289,0,0.0,0.8333333333333334,100.0,-1.0,0.3830311110497892,0,0
85,2550,1,0,294,0,0.0,0.8333333333333334,100.0,-1.0,0.3792007999392913,0,0
86,2580,1,0,294,0,0.0,0.8333333333333334,100.0,0.0,0.37540879193989835,0,0
87,2610,1,0,299,0,0.0,0.8333333333333334,100.0,-1.0,0.3716547040204994,0,0
88,2640,1,0,304,0,0.0,0.8333333333333334,100.0,-1.0,0.36793815698029436,0,0
89,2670,1,0,306,0,0.0,0.8333333333333334,100.0,-1.0,0.3642587754104914,0,0
90,2700,1,0,308,0,0.0,0.8333333333333334,100.0,-1.0,0.3606161876563865,0,0
91,2730,1,0,310,0,0.0,0.8333333333333334,100.0,-1.0,0.3570100257798226,0,0
92,2760,1,0,312,0,0.0,0.8333333333333334,100.0,-1.0,0.35343992552202436,0,0
93,2790,1,0,319,0,0.0,0.8333333333333334,100.0,-1.0,0.3499055262668041,0,0
94,2820,1,0,325,0,0.0,0.8333333333333334,100.0,-1.0,0.3464064710041361,0,0
95,2850,1,0,330,0,0.0,0.8333333333333334,100.0,-1.0,0.3429424062940947,0,0
96,2880,1,0,337,0,0.0,0.8333333333333334,100.0,-1.0,0.3395129822311538,0,0
97,2910,1,0,343,0,0.0,0.8333333333333334,100.0,-1.0,0.33611785240884223,0,0
98,2940,1,0,350,0,0.0,0.8333333333333334,100.0,-1.0,0.33275667388475383,0,0
99,2970,1,0,355,0,0.0,0.8333333333333334,100.0,-1.0,0.3294291071459063,0,0
100,3000,1,0,360,0,0.0,0.8333333333333334,100.0,-1.0,0.3261348160744472,0,0
101,3030,1,0,364,0,0.0,0.8333333333333334,100.0,-1.0,0.32287346791370275,0,0
102,3060,1,0,365,0,0.0,0.8333333333333334,100.0,-1.0,0.3196447332345657,0,0
103,3090,1,0,369,0,0.0,0.8333333333333334,100.0,-1.0,0.3164482859022201,0,0
104,3120,1,0,369,0,0.0,0.8333333333333334,100.0,0.0,0.31328380304319786,0,0
105,3150,1,0,376,0,0.0,0.8333333333333334,100.0,-1.0,0.3101509650127659,0,0
106,3180,1,0,381,0,0.0,0.8333333333333334,100.0,-1.0,0.3070494553626382,0,0
107,3210,1,0,387,0,0.0,0.8333333333333334,100.0,-1.0,0.3039789608090118,0,0
108,3240,1,0,391,0,0.0,0.8333333333333334,100.0,-1.0,0.30093917120092173,0,0
109,3270,1,0,396,0,0.0,0.8333333333333334,100.0,-1.0,0.2979297794889125,0,0
110,3300,1,0,401,0,0.0,0.8333333333333334,100.0,-1.0,0.2949504816940234,0,0
111,3330,1,0,402,0,0.0,0.8333333333333334,100.0,-1.0,0.29200097687708315,0,0
112,3360,1,0,405,0,0.0,0.8333333333333334,100.0,-1.0,0.2890809671083123,0,0
