slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,1,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,4,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8732691,0,0
3,90,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8645364090000001,0,0
4,120,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.85589104491,0,0
5,150,1,7,6,0,0.6109987492137013,1.2858792307650386,154.30550769180465,-1.5430550769180462,0.8473321344609,0,0
6,180,1,8,7,0,0.17979474304020815,0.9148156807633324,109.77788169159989,-1.0977788169159988,0.8388588131162911,0,0
7,210,1,10,11,0,0.459744085283849,1.127491111063605,135.2989333276326,-1.3529893332763259,0.8304702249851281,0,0
8,240,1,11,15,0,0.17531345649519525,0.9122610241839268,109.47132290207122,-1.0947132290207122,0.8221655227352769,0,0
9,270,1,15,17,0,0.6082104668769679,1.282683470304789,153.92201643657467,-1.5392201643657466,0.8139438675079241,0,0
10,300,1,14,20,0,0.2130571059511516,0.9346145889145707,112.15375066974849,-1.1215375066974849,0.8058044288328449,0,0
11,330,1,17,23,0,0.5939014599415211,1.2664464493942873,151.97357392731448,-1.5197357392731448,0.7977463845445164,0,0
12,360,1,21,24,0,0.3191035497798959,1.0075859002480523,120.91030802976627,-1.2091030802976628,0.7897689206990712,0,0
13,390,1,18,31,0,0.23136718976313178,0.9461429142536366,113.5371497104364,-1.1353714971043638,0.7818712314920805,0,0
14,420,1,23,33,0,0.5466491267185346,1.2147665540676025,145.7719864881123,-1.457719864881123,0.7740525191771597,0,0
15,450,1,30,34,0,0.32487465915284125,1.011987249157397,121.43846989888763,-1.2143846989888762,0.7663119939853881,0,0
16,480,1,28,38,0,0.42271003968530035,1.0933591983289324,131.20310379947188,-1.3120310379947189,0.7586488740455342,0,0
17,510,1,31,43,0,0.30067504474367784,0.9938286699356345,119.25944039227613,-1.1925944039227614,0.7510623853050789,0,0
18,540,1,36,46,0,0.5369334428610394,1.2045094956620859,144.5411394794503,-1.445411394794503,0.7435517614520281,0,0
19,570,1,39,46,0,0.41894891008013707,1.089995096198269,130.79941154379227,-1.3079941154379227,0.7361162438375077,0,0
20,600,1,44,47,0,0.4818643336732778,1.1487502686020208,137.85003223224248,-1.3785003223224248,0.7287550813991327,0,0
21,630,1,43,48,0,0.5063598557283876,1.1730534875716447,140.76641850859738,-1.4076641850859737,0.7214675305851413,0,0
