slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,1,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,4,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8732691,0,0
3,90,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8645364090000001,0,0
4,120,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.85589104491,0,0
5,150,1,7,6,0,0.3860294117647059,1.0613556084198386,127.36267301038063,-1.2736267301038062,0.8473321344609,0,0
6,180,1,9,6,0,0.3247549019607843,1.0118954648853005,121.42745578623607,-1.2142745578623606,0.8388588131162911,0,0
7,210,1,15,6,0,0.3130718954248366,1.003033306278212,120.36399675338545,-1.2036399675338543,0.8304702249851281,0,0
8,240,1,16,10,0,0.49071895424836603,1.157443046121862,138.89316553462345,-1.3889316553462345,0.8221655227352769,0,0
9,270,1,18,14,0,0.2108107731690485,0.9332310457791042,111.9877254934925,-1.119877254934925,0.8139438675079241,0,0
10,300,1,17,17,0,0.6458108428063087,1.3266513773928996,159.19816528714796,-1.5919816528714794,0.8058044288328449,0,0
11,330,1,22,18,0,0.2543906516379553,0.9612732863065074,115.35279435678089,-1.153527943567809,0.7977463845445164,0,0
12,360,1,22,23,0,0.5476206890793132,1.2157991757649054,145.89590109178866,-1.4589590109178865,0.7897689206990712,0,0
13,390,1,25,24,0,0.37841902068165595,1.0549403103696608,126.59283724435932,-1.265928372443593,0.7818712314920805,0,0
14,420,1,26,30,0,0.4102748648104467,1.082308598066969,129.8770317680363,-1.2987703176803629,0.7740525191771597,0,0
15,450,1,33,31,0,0.45819342706114086,1.126025286755069,135.12303441060828,-1.351230344106083,0.7663119939853881,0,0
16,480,1,32,34,0,0.46847525324157885,1.1358044596803674,136.29653516164407,-1.3629653516164408,0.7586488740455342,0,0
17,510,1,38,36,0,0.3931838035381472,1.0674569367558653,128.09483241070384,-1.2809483241070383,0.7510623853050789,0,0
18,540,1,42,40,0,0.28733448858075816,0.9841522350788966,118.09826820946759,-1.1809826820946758,0.7435517614520281,0,0
19,570,1,41,44,0,0.38720675879073324,1.062354968965728,127.48259627588735,-1.2748259627588734,0.7361162438375077,0,0
20,600,1,43,48,0,0.3871972898515074,1.062346924129404,127.48163089552847,-1.2748163089552846,0.7287550813991327,0,0
21,630,1,42,49,0,0.5985514843310857,1.271693081040326,152.60316972483912,-1.5260316972483912,0.7214675305851413,0,0
