slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,1,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,4,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8732691,0,0
3,90,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8645364090000001,0,0
4,120,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.85589104491,0,0
5,150,1,7,6,0,0.3860294117647059,1.0613556084198386,127.36267301038063,-1.2736267301038062,0.8473321344609,0,0
6,180,1,7,8,0,0.40430500094660654,1.0770766895091592,129.2492027410991,-1.292492027410991,0.8388588131162911,0,0
7,210,1,10,11,0,0.18502584363255214,0.9178316564188091,110.1397987702571,-1.101397987702571,0.8304702249851281,0,0
8,240,1,14,12,0,0.3460075474812796,1.0284833311030999,123.41799973237198,-1.2341799973237197,0.8221655227352769,0,0
9,270,1,17,15,0,0.46849060446757296,1.1358191658054522,136.29829989665427,-1.3629829989665425,0.8139438675079241,0,0
10,300,1,18,16,0,0.1963567638780619,0.9244895737731306,110.93874885277567,-1.1093874885277566,0.8058044288328449,0,0
11,330,1,19,21,0,0.37354141765307647,1.0508692663525387,126.10431196230466,-1.2610431196230465,0.7977463845445164,0,0
12,360,1,23,22,0,0.3549009602936162,1.0356034478427594,124.27241374113112,-1.2427241374113112,0.7897689206990712,0,0
13,390,1,25,24,0,0.38166310969502626,1.0576655227663938,126.91986273196727,-1.2691986273196725,0.7818712314920805,0,0
14,420,1,29,27,0,0.42787082193967746,1.0980059008247824,131.7607080989739,-1.3176070809897389,0.7740525191771597,0,0
15,450,1,36,28,0,0.44382579430292274,1.1125961552267212,133.51153862720653,-1.3351153862720653,0.7663119939853881,0,0
16,480,1,36,30,0,0.4990381019916583,1.1657053854901773,139.88464625882128,-1.3988464625882127,0.7586488740455342,0,0
17,510,1,43,31,0,0.3729783225869361,1.050401326942155,126.04815923305861,-1.260481592330586,0.7510623853050789,0,0
18,540,2,45,37,0,0.2358362254241141,1.9722074175421924,236.66489010506308,-2.3666489010506306,0.7435517614520281,0,0
19,570,2,43,42,0,0.21688568531246644,1.9366955248575328,232.40346298290393,-1.324034629829039,0.7361162438375077,0,0
20,600,2,47,44,0,0.22363310589134772,1.9491201133958604,233.89441360750325,-1.3389441360750325,0.7287550813991327,0,0
21,630,2,46,45,0,0.27048674742548945,2.0420927130378477,245.05112556454174,-1.4505112556454172,0.7214675305851413,0,0
